,predicted,targets,R_mean
282,9.0,9.0,0.13093218
283,4.0,4.0,0.28275523
284,6.0,6.0,0.45791265
285,7.0,9.0,0.14266613
286,6.0,6.0,0.38646668
287,6.0,1.0,0.23531677
288,6.0,8.0,0.08489149
289,2.0,2.0,0.3534998
290,3.0,3.0,0.24211119
291,3.0,3.0,0.14687513
292,3.0,3.0,0.016190164
293,0.0,0.0,0.021272132
294,8.0,8.0,0.42661875
295,6.0,6.0,0.02844096
296,5.0,5.0,0.27890718
297,3.0,3.0,0.1889169
298,5.0,9.0,0.17918944
299,2.0,2.0,0.29299632
300,4.0,7.0,0.0051278854
301,7.0,7.0,0.0011944314
302,6.0,6.0,0.110481314
303,6.0,6.0,0.20655969
304,6.0,6.0,0.49439594
305,6.0,6.0,0.33930594
306,2.0,8.0,0.10510229
307,0.0,0.0,0.06820722
308,0.0,0.0,0.006347603
309,7.0,7.0,0.4612628
310,7.0,7.0,0.22386591
311,1.0,1.0,0.18909967
312,6.0,6.0,0.087675855
313,5.0,5.0,0.008672423
314,2.0,2.0,0.051945332
315,7.0,7.0,0.08940128
316,5.0,8.0,0.111393526
317,4.0,4.0,0.08777529
318,1.0,6.0,0.20228411
319,5.0,8.0,0.08893642
320,1.0,1.0,0.011034403
321,2.0,2.0,0.44766152
322,1.0,1.0,0.4810936
323,6.0,6.0,0.2780834
324,1.0,1.0,0.31678855
325,7.0,7.0,0.21373214
326,1.0,1.0,0.10794079
327,2.0,2.0,0.08650967
328,4.0,2.0,0.14438476
329,7.0,7.0,0.041393515
330,6.0,6.0,0.14498933
331,7.0,7.0,0.034524955
332,5.0,8.0,0.117823906
333,9.0,9.0,0.12819144
334,7.0,7.0,0.20844935
335,1.0,1.0,0.072431594
336,5.0,8.0,0.22501624
337,8.0,4.0,0.20318519
338,2.0,2.0,0.05062728
339,8.0,8.0,0.18428543
340,3.0,3.0,0.47508973
341,0.0,0.0,0.17670587
342,9.0,9.0,0.1842751
343,4.0,4.0,0.11689558
344,6.0,1.0,0.19131823
345,2.0,2.0,0.11931899
346,9.0,9.0,0.6123174
347,4.0,4.0,0.15031189
348,5.0,5.0,0.014196188
349,7.0,7.0,0.049844157
350,7.0,7.0,0.48449644
351,6.0,6.0,0.07855979
352,7.0,7.0,0.037683338
353,3.0,3.0,0.12727423
354,2.0,2.0,0.21624428
355,3.0,4.0,0.19717099
356,4.0,4.0,0.084304914
357,0.0,0.0,0.1296715
358,6.0,6.0,0.096319765
359,7.0,7.0,0.43686265
360,2.0,2.0,0.17949428
361,8.0,8.0,0.017310575
362,7.0,7.0,0.11521162
363,5.0,3.0,0.36125872
364,8.0,8.0,0.510465
365,5.0,8.0,0.5971016
366,5.0,5.0,0.009962141
367,0.0,0.0,0.097317055
368,3.0,3.0,0.14026333
369,0.0,0.0,0.3464229
370,4.0,4.0,0.21761209
371,7.0,9.0,0.17140433
372,6.0,6.0,0.011204794
373,4.0,4.0,0.289859
374,5.0,5.0,0.1453689
375,0.0,0.0,0.3590068
376,3.0,3.0,0.05387876
377,5.0,5.0,0.11022853
378,2.0,2.0,0.16844591
379,4.0,4.0,0.27108368
380,1.0,1.0,0.10449152
381,2.0,7.0,0.030129356
382,3.0,3.0,0.019859994
383,4.0,4.0,0.20381011
384,4.0,4.0,0.29989257
385,6.0,6.0,0.5342951
386,3.0,3.0,0.06003949
387,2.0,2.0,0.03330335
388,1.0,1.0,0.69006556
389,8.0,1.0,0.2020512
390,6.0,6.0,0.13044025
391,3.0,3.0,0.6715587
392,6.0,6.0,0.1373497
393,9.0,9.0,0.280762
394,7.0,4.0,0.17664959
395,7.0,7.0,0.7592123
396,3.0,3.0,0.14790998
397,2.0,7.0,0.012421645
398,2.0,2.0,0.17082855
399,7.0,7.0,0.07251852
400,3.0,3.0,0.3352027
401,4.0,4.0,0.29102513
402,4.0,4.0,0.42293718
403,4.0,3.0,0.0047479235
404,3.0,3.0,0.017085463
405,0.0,0.0,0.07439499
406,1.0,1.0,0.21004407
407,8.0,8.0,0.29661393
408,7.0,8.0,0.39994484
409,1.0,1.0,0.071738
410,6.0,6.0,0.46372688
411,3.0,3.0,0.11540254
412,0.0,0.0,0.061327517
413,5.0,5.0,0.10883841
414,1.0,1.0,0.079572454
415,6.0,6.0,0.08987947
416,1.0,1.0,0.0632186
417,7.0,7.0,0.30225787
418,1.0,1.0,0.07130407
419,6.0,1.0,0.2720515
420,6.0,6.0,0.27901214
421,5.0,5.0,0.032120626
422,9.0,9.0,0.1028175
423,6.0,6.0,0.24695961
424,1.0,1.0,0.3351142
425,7.0,7.0,0.08970351
426,3.0,3.0,0.06947003
427,8.0,8.0,0.28530696
428,8.0,8.0,0.46478605
429,6.0,8.0,0.1974455
430,6.0,6.0,0.1301512
431,0.0,0.0,0.18622187
432,3.0,3.0,0.100847386
433,5.0,5.0,0.14887527
434,5.0,5.0,0.1599522
435,2.0,2.0,0.044565026
436,4.0,4.0,0.24696481
437,2.0,2.0,0.11436212
438,2.0,2.0,0.2531572
439,1.0,1.0,0.11089049
440,0.0,0.0,0.016492575
441,5.0,5.0,0.1814868
442,6.0,8.0,0.3414073
443,6.0,6.0,0.1044858
444,7.0,9.0,0.28757253
445,0.0,6.0,0.035627563
446,4.0,4.0,0.30916765
447,4.0,4.0,0.4038495
448,5.0,5.0,0.029405868
449,4.0,4.0,0.6512996
450,4.0,4.0,0.10741067
451,5.0,5.0,0.308979
452,2.0,2.0,0.3895469
453,1.0,1.0,0.36521828
454,2.0,8.0,0.09901182
455,1.0,1.0,0.48535928
456,2.0,2.0,0.11692099
457,1.0,1.0,0.046889022
458,4.0,4.0,0.020987205
459,6.0,6.0,0.022332512
460,5.0,5.0,0.070029594
461,7.0,7.0,1.0379428
462,4.0,4.0,0.15167776
463,0.0,0.0,0.36732143
464,5.0,5.0,0.025451152
465,1.0,1.0,0.14645624
466,1.0,1.0,0.15860495
467,6.0,8.0,0.12595698
468,2.0,7.0,0.029631004
469,6.0,6.0,0.12254576
470,0.0,0.0,0.14212991
471,0.0,0.0,0.037112016
472,3.0,9.0,0.030911293
473,3.0,4.0,0.23427202
474,5.0,5.0,0.07266271
475,4.0,4.0,0.12056431
476,3.0,3.0,0.12823151
477,7.0,4.0,0.13589543
478,6.0,6.0,0.38363373
479,4.0,4.0,0.20415099
480,1.0,4.0,0.024988472
481,9.0,9.0,0.123796165
482,3.0,4.0,0.6199058
483,1.0,1.0,0.21783637
484,2.0,2.0,0.2839943
485,2.0,7.0,0.12691434
486,3.0,3.0,0.15296476
487,0.0,0.0,0.01846848
488,2.0,7.0,0.47603115
489,5.0,5.0,0.011359058
490,7.0,7.0,0.07221508
491,1.0,1.0,0.24963406
492,1.0,1.0,0.30902025
493,5.0,5.0,0.12242748
494,4.0,4.0,0.12102056
495,1.0,1.0,0.103390805
496,8.0,9.0,0.11450826
497,0.0,0.0,0.20031522
498,4.0,4.0,0.24935819
499,2.0,0.0,0.069106
500,7.0,7.0,0.08523338
501,4.0,4.0,0.2450167
502,3.0,3.0,0.39017004
503,0.0,0.0,0.18633482
504,6.0,6.0,0.017127322
505,1.0,1.0,0.17099848
506,8.0,8.0,0.17196883
507,0.0,0.0,0.28956866
508,3.0,3.0,0.38443598
509,2.0,2.0,0.32822195
510,2.0,2.0,0.058692493
511,6.0,6.0,0.112206385
512,3.0,3.0,0.04690971
513,9.0,9.0,0.13234006
514,1.0,1.0,0.36489606
515,8.0,8.0,0.35621342
516,9.0,9.0,0.07950629
517,5.0,5.0,0.42029017
518,0.0,0.0,0.1474847
519,5.0,5.0,0.2943814
520,3.0,3.0,0.09924779
521,2.0,2.0,0.052503753
522,8.0,8.0,0.07352951
523,8.0,8.0,0.3522721
524,9.0,9.0,0.062087838
525,7.0,7.0,0.24491744
526,8.0,8.0,0.007808155
527,5.0,5.0,0.048883382
528,9.0,9.0,0.14663652
529,5.0,5.0,0.20545548
530,7.0,7.0,0.06919842
531,6.0,6.0,0.2381782
532,6.0,6.0,0.0014363414
533,9.0,9.0,0.2726025
534,4.0,4.0,0.08976087
535,6.0,6.0,0.12947322
536,5.0,5.0,0.2542224
537,3.0,3.0,0.021831255
538,8.0,8.0,0.08301072
539,1.0,1.0,0.016819606
540,4.0,4.0,0.46671912
541,6.0,6.0,0.120472945
542,0.0,0.0,0.14088595
543,6.0,6.0,0.28269196
544,9.0,9.0,0.021345627
545,3.0,3.0,0.6615802
546,4.0,4.0,0.09827157
547,1.0,1.0,0.11059412
548,3.0,3.0,0.34417078
549,1.0,1.0,0.24536817
550,4.0,4.0,0.11455831
551,9.0,9.0,0.3203093
552,7.0,7.0,0.12717196
553,1.0,1.0,0.105691716
554,7.0,7.0,0.1843879
555,6.0,6.0,0.07792705
556,2.0,2.0,0.12568006
557,8.0,8.0,0.27398512
558,7.0,7.0,0.32289344
559,3.0,3.0,0.3437727
560,6.0,6.0,0.2380885
561,6.0,6.0,0.053633016
562,1.0,1.0,0.22576395
563,1.0,1.0,0.36782107
564,2.0,2.0,0.19087796
565,9.0,9.0,0.011360844
566,3.0,3.0,0.31040528
567,7.0,7.0,0.12898988
568,0.0,0.0,0.09312497
569,4.0,4.0,0.35252365
570,6.0,6.0,0.07432566
571,6.0,6.0,0.2821712
572,7.0,7.0,0.048787463
573,0.0,0.0,0.17351085
574,5.0,5.0,0.06938315
575,0.0,0.0,0.040023223
576,7.0,7.0,0.33919257
577,9.0,9.0,0.049514778
578,3.0,3.0,0.41831815
579,0.0,0.0,0.033187717
580,0.0,0.0,0.034158926
581,5.0,5.0,0.007129755
582,3.0,3.0,0.105327755
583,5.0,5.0,0.22703674
584,9.0,9.0,0.2411749
585,1.0,1.0,0.10032584
586,0.0,0.0,0.004436552
587,2.0,2.0,0.17098206
588,8.0,8.0,0.16102822
589,7.0,7.0,0.14258386
590,1.0,1.0,0.15030588
591,3.0,3.0,0.038520187
592,4.0,4.0,0.017057981
593,0.0,0.0,0.59220666
594,6.0,6.0,0.10730549
595,6.0,6.0,0.44316688
596,5.0,5.0,0.0018160349
597,9.0,9.0,0.19857714
598,8.0,8.0,0.18551342
599,2.0,2.0,0.032865625
600,9.0,9.0,0.16757487
601,2.0,2.0,0.4263444
602,5.0,5.0,0.01673902
603,7.0,7.0,0.41328952
604,6.0,6.0,0.57472813
605,6.0,6.0,0.40170157
606,0.0,0.0,0.25594828
607,8.0,8.0,0.3533275
608,9.0,9.0,0.37655997
609,6.0,6.0,0.01796931
610,2.0,2.0,0.37324965
611,8.0,8.0,0.06591631
612,0.0,0.0,0.08596335
613,8.0,8.0,0.16708744
614,7.0,7.0,0.013430041
615,3.0,3.0,0.03695897
616,2.0,2.0,0.256308
617,9.0,9.0,0.15741909
618,6.0,6.0,0.18198209
619,3.0,3.0,0.18723586
620,0.0,0.0,0.20850904
621,6.0,6.0,0.082855895
622,7.0,7.0,0.11722867
623,9.0,9.0,0.17088997
624,2.0,2.0,0.02871248
625,4.0,4.0,0.019283546
626,7.0,7.0,0.14605649
627,0.0,0.0,0.3168994
628,4.0,4.0,0.032480314
629,1.0,1.0,0.673168
630,5.0,5.0,0.052325524
631,5.0,5.0,0.021232843
632,8.0,8.0,0.08731633
633,9.0,9.0,0.36568892
634,8.0,8.0,0.36148468
635,1.0,1.0,0.074560314
636,9.0,9.0,0.36697274
637,1.0,1.0,0.17961131
638,7.0,7.0,0.1753258
639,8.0,8.0,0.16997823
640,1.0,1.0,0.20137595
641,2.0,2.0,0.05187132
642,3.0,3.0,0.11366281
643,6.0,6.0,0.19730125
644,7.0,7.0,0.06255697
645,1.0,1.0,0.38866788
646,3.0,3.0,0.019469326
647,9.0,9.0,0.26407012
648,5.0,5.0,0.2978191
649,8.0,8.0,0.34729308
650,8.0,8.0,0.107034266
651,3.0,3.0,0.25517985
652,0.0,0.0,0.025958536
653,4.0,4.0,0.0010251963
654,3.0,3.0,0.15500313
655,4.0,4.0,0.09073968
656,8.0,8.0,0.26664582
657,1.0,1.0,0.026466176
658,1.0,1.0,0.29227507
659,5.0,5.0,0.22407436
660,1.0,1.0,0.03177247
661,1.0,1.0,0.35764438
662,7.0,7.0,0.07164245
663,7.0,7.0,0.20230809
664,5.0,5.0,0.084517725
665,4.0,4.0,0.3233705
666,2.0,2.0,0.025657134
667,6.0,6.0,0.07207424
668,4.0,4.0,0.15320656
669,3.0,3.0,0.0022548535
670,9.0,9.0,0.17735042
671,5.0,5.0,0.27402067
672,4.0,4.0,0.3645705
673,3.0,3.0,0.45789692
674,4.0,4.0,0.032026354
675,7.0,7.0,0.4192356
676,2.0,2.0,0.32552248
677,8.0,8.0,0.10131904
678,1.0,1.0,0.00071693043
679,9.0,9.0,0.48183623
680,8.0,8.0,0.08535669
681,0.0,0.0,0.26736
682,4.0,4.0,0.07277549
683,7.0,7.0,0.06632596
684,7.0,7.0,0.2738733
685,1.0,1.0,0.123120695
686,6.0,6.0,0.049455132
687,6.0,6.0,0.121527664
688,0.0,0.0,0.020563066
689,7.0,7.0,0.43158212
690,5.0,5.0,0.031245911
691,4.0,4.0,0.33200318
692,6.0,6.0,0.39125657
693,4.0,4.0,0.24578871
694,3.0,3.0,0.032653555
695,4.0,4.0,0.17675722
696,5.0,5.0,0.24024922
697,8.0,8.0,0.08022873
698,1.0,1.0,0.122076005
699,6.0,6.0,0.07522575
700,4.0,4.0,0.36790496
701,2.0,2.0,0.23306152
702,2.0,2.0,0.05956843
703,6.0,6.0,0.22101639
704,9.0,9.0,0.4754689
705,5.0,5.0,0.08036801
706,0.0,0.0,0.57384247
707,6.0,6.0,0.6947619
708,7.0,7.0,0.06564942
709,9.0,9.0,0.22755603
710,4.0,4.0,0.32398203
711,4.0,4.0,0.09107658
712,7.0,7.0,0.10277739
713,0.0,0.0,0.062270317
714,8.0,8.0,0.33599237
715,1.0,1.0,0.074990004
716,7.0,7.0,0.17485137
717,0.0,0.0,0.057688363
718,1.0,1.0,0.2449566
719,2.0,2.0,0.26233128
720,0.0,0.0,0.029419677
721,0.0,0.0,0.06951399
722,4.0,4.0,0.4713475
723,5.0,5.0,0.105108656
724,8.0,8.0,0.0055889557
725,4.0,4.0,0.30484572
726,5.0,5.0,0.16503039
727,7.0,7.0,0.14129582
728,0.0,0.0,0.44491407
729,1.0,1.0,0.28847852
730,8.0,8.0,0.1691376
731,0.0,0.0,0.028100643
732,3.0,3.0,0.041603297
733,8.0,8.0,0.58718324
734,6.0,6.0,0.119902335
735,9.0,9.0,0.081428654
736,9.0,9.0,0.13731527
737,8.0,8.0,0.10862106
738,9.0,9.0,0.1458409
739,0.0,0.0,0.22246814
740,1.0,1.0,0.30182528
741,6.0,6.0,0.4095637
742,1.0,1.0,0.41363218
743,7.0,7.0,0.23547783
744,5.0,5.0,0.42634085
745,5.0,5.0,0.22660413
746,9.0,9.0,0.18737966
747,2.0,2.0,0.18004668
748,7.0,7.0,0.03819911
749,5.0,5.0,0.08496054
750,6.0,6.0,0.2577854
751,5.0,5.0,0.11645328
752,3.0,3.0,0.2773221
753,4.0,4.0,0.08654515
754,7.0,7.0,0.20853843
755,4.0,4.0,0.29899505
756,8.0,8.0,0.2651464
757,8.0,8.0,0.11894932
758,3.0,3.0,0.18565905
759,4.0,4.0,0.011286404
760,8.0,8.0,0.20405874
761,6.0,6.0,0.01918727
762,4.0,4.0,0.071313895
763,8.0,8.0,0.19585413
764,2.0,2.0,0.0067867925
765,3.0,3.0,0.07015096
766,3.0,3.0,0.42648536
767,8.0,8.0,0.021785567
768,2.0,2.0,0.06260747
769,0.0,0.0,0.3738444
770,2.0,2.0,0.42605376
771,5.0,5.0,0.36492646
772,7.0,7.0,0.4037778
773,2.0,2.0,0.5256228
774,1.0,1.0,0.16350572
775,6.0,6.0,0.35847148
776,1.0,1.0,0.23793279
777,6.0,6.0,0.57591754
778,9.0,9.0,0.4951352
779,3.0,3.0,0.1383101
780,0.0,0.0,0.2543705
781,1.0,1.0,0.05973037
782,1.0,1.0,0.24254473
783,2.0,2.0,0.24163309
784,3.0,3.0,0.050136335
785,1.0,1.0,0.21295199
786,1.0,1.0,0.3098452
787,0.0,0.0,0.097510405
788,5.0,5.0,0.12319112
789,1.0,1.0,0.18320672
790,9.0,9.0,0.21018347
791,2.0,2.0,0.06716057
792,2.0,2.0,0.2302478
793,0.0,0.0,0.35966158
794,8.0,8.0,0.2951561
795,2.0,2.0,0.047512118
796,0.0,0.0,0.09158242
797,0.0,0.0,0.12148145
798,3.0,3.0,0.0022516658
799,7.0,7.0,0.15499155
800,8.0,8.0,0.10551276
801,7.0,7.0,0.07869252
802,2.0,2.0,0.11500996
803,1.0,1.0,0.02284436
804,8.0,8.0,0.20400544
805,7.0,7.0,0.3298631
806,1.0,1.0,0.08654163
807,3.0,3.0,0.005757179
808,9.0,9.0,0.3865574
809,6.0,6.0,0.26082987
810,5.0,5.0,0.4038297
811,1.0,1.0,0.35675865
812,9.0,9.0,0.0499361
813,6.0,6.0,0.24914178
814,7.0,7.0,0.52320284
815,6.0,6.0,0.24800241
816,2.0,2.0,0.251498
817,0.0,0.0,0.16016594
818,8.0,8.0,0.32545227
819,3.0,3.0,0.064568326
820,0.0,0.0,0.12448259
821,0.0,0.0,0.23285334
822,1.0,1.0,0.3099862
823,6.0,6.0,0.053551886
824,0.0,0.0,0.4109622
825,0.0,0.0,0.11121799
826,3.0,3.0,0.16399057
827,2.0,2.0,0.24618174
828,2.0,2.0,0.11958558
829,1.0,1.0,0.0544
830,3.0,3.0,0.0109052025
831,9.0,9.0,0.2204562
832,7.0,7.0,0.08072751
833,0.0,0.0,0.17389116
834,2.0,2.0,0.08741546
835,8.0,8.0,0.41871375
836,2.0,2.0,0.34733114
837,6.0,6.0,0.38763922
838,3.0,3.0,0.094666615
839,6.0,6.0,0.22181013
840,6.0,6.0,0.0670346
841,0.0,0.0,0.051483855
842,2.0,2.0,0.1407422
843,4.0,4.0,0.25044885
844,1.0,1.0,0.011162449
845,8.0,8.0,0.53794044
846,8.0,8.0,0.05515733
847,5.0,5.0,0.12821016
848,2.0,2.0,0.04243655
849,2.0,2.0,0.24643531
850,4.0,4.0,0.21825707
851,3.0,3.0,0.3560328
852,8.0,8.0,0.2749579
853,2.0,2.0,0.10109516
854,4.0,4.0,0.045453567
855,3.0,3.0,0.4338009
856,0.0,0.0,0.080648474
857,6.0,6.0,0.0176655
858,4.0,4.0,0.02687708
859,3.0,3.0,0.22139366
860,2.0,2.0,0.2957833
861,2.0,2.0,0.0034416327
862,9.0,9.0,0.18814544
863,9.0,9.0,0.47158793
864,5.0,5.0,0.24120401
865,9.0,9.0,0.30733824
866,6.0,6.0,0.11707753
867,4.0,4.0,0.19191428
868,1.0,1.0,0.3370043
869,6.0,6.0,0.28011182
870,5.0,5.0,0.29467848
871,6.0,6.0,0.031079976
872,1.0,1.0,0.19732906
