predicted,targets,R_mean,R_min,R_max
0.0,0.0,0.45350558,0.40165916,0.51485294
4.0,4.0,0.5042364,0.49837476,0.5406753
0.0,0.0,0.36017063,0.32962272,0.37753958
3.0,8.0,0.5234823,0.49459434,0.5248818
2.0,2.0,0.093990594,0.08143185,0.14285669
2.0,8.0,0.30974597,0.23412725,0.34666857
1.0,1.0,0.48088923,0.4058556,0.53493285
3.0,3.0,0.50102365,0.49690446,0.54385424
5.0,8.0,0.6000646,0.55061245,0.6443451
4.0,4.0,0.8526544,0.8034664,0.92687094
2.0,2.0,0.5206738,0.49149284,0.5754858
0.0,0.0,0.013942889,0.004428699,0.054737855
6.0,6.0,0.22192731,0.12675059,0.2887345
9.0,9.0,0.087409064,0.029959265,0.118780375
2.0,7.0,0.8290374,0.8028286,0.9112167
8.0,9.0,0.000521207,0.00046848416,0.024063446
8.0,8.0,0.0797203,0.03537384,0.17042673
4.0,4.0,0.4451604,0.37702867,0.4945198
8.0,8.0,0.32530403,0.31914487,0.35921767
6.0,6.0,0.7923569,0.7749729,0.8343924
6.0,6.0,0.34939995,0.26634014,0.44563842
3.0,3.0,0.1395318,0.08400451,0.20226519
4.0,4.0,0.21173885,0.15351649,0.24613313
2.0,7.0,0.19751303,0.14314938,0.27164748
5.0,5.0,0.5202099,0.5175488,0.5896702
8.0,9.0,0.39423695,0.38183835,0.40086427
0.0,0.0,0.35944146,0.31213102,0.4075894
1.0,4.0,0.2257074,0.21350005,0.24653584
2.0,5.0,0.79504675,0.7740646,0.8836556
4.0,4.0,0.7513249,0.68388546,0.79024893
3.0,3.0,0.345477,0.33124512,0.41655388
3.0,5.0,0.065289766,0.064155355,0.15728736
1.0,1.0,0.34932634,0.25704458,0.39846405
7.0,7.0,0.13225926,0.03617003,0.21722233
6.0,6.0,0.18360002,0.13425231,0.22134581
7.0,7.0,0.8827073,0.8150507,0.8923163
0.0,0.0,0.16272227,0.065534435,0.17069727
5.0,5.0,0.21185964,0.12283686,0.26697156
5.0,5.0,0.023538766,0.0029567715,0.046738885
6.0,6.0,0.35631752,0.35388613,0.4375179
9.0,9.0,0.5146966,0.45165455,0.5941736
1.0,1.0,0.24259661,0.22195666,0.3096128
1.0,1.0,0.054720677,0.033602796,0.09433247
1.0,1.0,0.5389761,0.4569593,0.6247076
2.0,7.0,1.3211263,1.3086692,1.3369343
2.0,2.0,0.6269283,0.5621788,0.64085215
3.0,3.0,0.5413145,0.5157496,0.6196677
2.0,2.0,0.32223445,0.23647878,0.40436178
1.0,1.0,0.15528068,0.07916472,0.1658608
9.0,9.0,0.02197585,0.00014861076,0.04286731
6.0,8.0,0.14555436,0.109113604,0.17912681
7.0,7.0,0.17733951,0.111136965,0.23022692
0.0,0.0,0.42327556,0.41035765,0.49914363
3.0,3.0,0.8917259,0.863549,0.9116654
1.0,1.0,0.23676328,0.14478442,0.2894631
2.0,9.0,0.5220077,0.5138747,0.57497305
4.0,4.0,0.40398368,0.3965335,0.45672652
4.0,4.0,0.5280862,0.4505016,0.5572475
8.0,8.0,0.15459505,0.13183016,0.23771892
5.0,5.0,0.13074248,0.11542468,0.15178753
1.0,1.0,0.42521977,0.40882918,0.45959628
0.0,0.0,0.06315114,0.00396419,0.10159488
1.0,1.0,1.0357541,0.99263287,1.1160115
4.0,4.0,0.44569752,0.43911505,0.4683486
1.0,1.0,0.35765383,0.28612235,0.37830502
3.0,3.0,0.51007736,0.42378128,0.5334145
0.0,0.0,0.21477003,0.13799971,0.25357834
1.0,1.0,0.14509319,0.122850314,0.20371497
3.0,8.0,0.031014705,0.018654536,0.096997574
5.0,5.0,0.42211923,0.3301853,0.45230976
1.0,1.0,0.50822234,0.42526248,0.5284674
8.0,8.0,0.3127723,0.22393367,0.32942325
8.0,8.0,0.46760684,0.45295748,0.47120336
5.0,5.0,0.23690034,0.15651642,0.31356454
0.0,0.0,0.26853627,0.20270538,0.35842538
0.0,0.0,0.25039268,0.17046124,0.3362277
0.0,0.0,0.48351577,0.39643383,0.4926188
7.0,9.0,0.40719837,0.39331353,0.49971646
0.0,0.0,0.36104062,0.33902884,0.39625075
2.0,2.0,0.2729529,0.20886382,0.34804213
4.0,4.0,0.5515275,0.5016597,0.5929456
5.0,5.0,0.41630316,0.39025047,0.47573027
3.0,3.0,0.08961483,0.018206924,0.17852634
5.0,5.0,0.25105143,0.1789392,0.31528875
6.0,6.0,0.36306342,0.34782958,0.37010998
1.0,1.0,0.24643974,0.22218813,0.26531222
4.0,4.0,1.1524138,1.1226866,1.2097757
2.0,2.0,0.5253431,0.5178582,0.5556402
5.0,5.0,0.38316736,0.34387922,0.45613536
2.0,7.0,0.25205308,0.17010695,0.2737966
0.0,0.0,0.5141181,0.4439315,0.5625935
6.0,6.0,0.30905387,0.2655959,0.4015869
2.0,2.0,0.27433875,0.23252285,0.35618326
5.0,5.0,0.25259233,0.19427943,0.3181177
7.0,7.0,0.31653214,0.2624985,0.40741503
2.0,2.0,0.8304295,0.78154737,0.8390055
8.0,8.0,0.5808089,0.50429106,0.66517144
0.0,0.0,0.010599191,0.002200839,0.05387164
3.0,3.0,0.59925115,0.5182665,0.6937721
6.0,7.0,0.5256285,0.5050122,0.5602001
7.0,4.0,0.48341244,0.39790154,0.5354661
4.0,4.0,0.1176014,0.0886096,0.14810534
6.0,6.0,0.07873297,0.03019156,0.09059803
2.0,2.0,0.21237355,0.15615371,0.31157047
3.0,2.0,0.57270604,0.5619223,0.67063546
8.0,8.0,0.571562,0.5123384,0.6120756
3.0,3.0,0.23359929,0.23332751,0.30156398
8.0,9.0,0.4565293,0.37739795,0.52633214
3.0,9.0,0.013770108,0.00094514753,0.10913534
2.0,2.0,0.80527794,0.7202565,0.8288819
4.0,4.0,0.13090554,0.11615186,0.20884132
0.0,0.0,0.6406037,0.54275316,0.70235527
2.0,2.0,0.045690343,0.03416473,0.060592577
4.0,4.0,0.620108,0.61926997,0.7003115
8.0,9.0,0.50164014,0.43448454,0.5748653
3.0,3.0,0.36941183,0.3056884,0.37650466
7.0,7.0,0.8229472,0.73009753,0.890068
2.0,2.0,0.38694465,0.3150325,0.4096715
3.0,3.0,0.6591235,0.6535889,0.7524261
4.0,4.0,0.7884195,0.71052384,0.83811843
8.0,8.0,0.0051474622,0.0010804766,0.075900204
2.0,2.0,0.09855278,0.09511163,0.17658997
6.0,7.0,0.099972755,0.016378507,0.11657963
6.0,6.0,0.37508732,0.33389747,0.39932844
1.0,1.0,0.5947381,0.5817102,0.6121996
6.0,6.0,0.32257962,0.26652914,0.33219588
8.0,8.0,0.048790123,0.0026694178,0.137813
7.0,9.0,0.6524604,0.5684877,0.73187786
8.0,8.0,0.511235,0.41978654,0.5282658
0.0,0.0,0.3622746,0.33646658,0.42538056
2.0,2.0,0.17603046,0.090812534,0.25312746
3.0,3.0,0.7204435,0.64862156,0.77144337
1.0,1.0,0.12065873,0.1040391,0.16428757
1.0,1.0,0.310789,0.22847818,0.40506133
3.0,3.0,0.5695568,0.48325023,0.5806829
2.0,2.0,0.3202348,0.2588592,0.36280432
4.0,4.0,0.23636696,0.14232998,0.3064316
4.0,4.0,0.34637174,0.28075895,0.35210675
2.0,2.0,0.15804894,0.06769633,0.23936106
1.0,1.0,0.3508295,0.29809788,0.36202338
8.0,8.0,0.1942668,0.14607431,0.24945687
6.0,6.0,0.09353674,0.016490825,0.111165196
2.0,8.0,0.2598855,0.19522014,0.27460015
7.0,9.0,0.44918832,0.43800855,0.53988457
7.0,7.0,0.31175038,0.2735407,0.41019452
5.0,5.0,0.35056898,0.30026942,0.4322146
2.0,2.0,0.29008067,0.23477438,0.3694713
6.0,5.0,0.15997164,0.06844776,0.20619395
1.0,1.0,0.07199169,0.046436317,0.12480168
8.0,9.0,0.50785327,0.4576981,0.52040064
1.0,1.0,0.5964227,0.5604922,0.6789253
6.0,6.0,0.1886245,0.11504783,0.20369683
1.0,1.0,0.42102507,0.3779044,0.4374144
4.0,4.0,0.111936845,0.063665584,0.118037835
1.0,1.0,0.88470197,0.86951745,0.89864576
5.0,8.0,0.053941876,0.051548462,0.07622186
0.0,0.0,0.1520604,0.090929404,0.22340956
2.0,2.0,0.70262593,0.6611291,0.70845217
8.0,8.0,0.16016997,0.15462235,0.22317564
3.0,3.0,0.9911722,0.9181166,1.0148677
6.0,6.0,0.8105357,0.80318254,0.8801431
0.0,0.0,0.095803365,0.00018891573,0.11899144
3.0,3.0,0.17983362,0.13711147,0.255577
8.0,8.0,0.24572007,0.24268356,0.27858847
2.0,7.0,0.6607136,0.65209424,0.71419764
1.0,1.0,0.6922284,0.658338,0.7540489
7.0,7.0,0.094230145,0.013204165,0.098588295
1.0,1.0,0.4289309,0.42769864,0.45576537
2.0,2.0,0.53128,0.44219148,0.5623008
1.0,1.0,0.7700764,0.74831796,0.8313532
7.0,7.0,0.83386683,0.77054465,0.9088917
8.0,8.0,0.34534767,0.3374237,0.4198143
5.0,5.0,0.45909432,0.41084123,0.50819814
3.0,3.0,0.4288043,0.33135536,0.48001134
7.0,9.0,0.088544935,0.019384712,0.102402434
4.0,4.0,0.81222516,0.7205908,0.8134811
7.0,7.0,0.12065442,0.11314845,0.15672323
4.0,4.0,0.6312641,0.6251326,0.64789027
1.0,1.0,1.3662814,1.333841,1.4318517
3.0,3.0,0.5406227,0.5095482,0.61316365
6.0,6.0,0.4511874,0.3924975,0.5280677
5.0,5.0,0.8498781,0.81477517,0.9349774
1.0,9.0,0.53078467,0.47773865,0.5593218
4.0,4.0,0.83688855,0.83176833,0.86781675
2.0,2.0,0.25374854,0.1600394,0.30456868
8.0,8.0,0.004816201,0.0023266147,0.08402557
0.0,0.0,0.31973803,0.3168138,0.36417523
9.0,9.0,0.33243638,0.3252825,0.3856171
4.0,4.0,0.047296785,0.019167868,0.14369926
6.0,6.0,0.426707,0.4024064,0.50355244
7.0,9.0,0.38492814,0.35765985,0.46643966
6.0,6.0,0.85351986,0.78329754,0.85571504
6.0,1.0,0.31526622,0.26616937,0.3394622
6.0,8.0,0.9313499,0.89273834,0.93391204
2.0,2.0,0.96510994,0.88960123,0.9802947
3.0,3.0,0.75447893,0.67659247,0.76026
3.0,3.0,0.8767155,0.79916406,0.9573358
3.0,3.0,0.35671854,0.2863114,0.35897756
0.0,0.0,0.032867383,0.0036686382,0.061020188
8.0,8.0,0.2568917,0.21957326,0.317043
6.0,6.0,0.3165649,0.31159288,0.39393535
5.0,5.0,0.27254337,0.2072987,0.32473937
3.0,3.0,0.62990785,0.5527389,0.6621233
5.0,9.0,0.046685986,0.0384098,0.10470277
2.0,2.0,0.19050094,0.113202445,0.22330023
4.0,7.0,0.20432645,0.18929523,0.2857144
7.0,7.0,0.50751525,0.4094327,0.561923
6.0,6.0,0.5086973,0.505146,0.54347545
6.0,6.0,0.5375656,0.46078482,0.5879959
6.0,6.0,0.24355234,0.16308795,0.31366315
6.0,6.0,0.30539078,0.29820502,0.37660328
2.0,8.0,0.657414,0.5984417,0.68769836
0.0,0.0,1.0644988,1.0582669,1.100066
0.0,0.0,0.059253607,0.02131674,0.09274568
7.0,7.0,0.48520514,0.418564,0.50818455
7.0,7.0,0.065640405,0.0026162453,0.1153827
1.0,1.0,0.6604228,0.61701936,0.75211823
6.0,6.0,0.5079559,0.50036764,0.5953499
5.0,5.0,0.26030588,0.16719413,0.27449408
2.0,2.0,0.09389822,0.054929253,0.12777941
7.0,7.0,0.3807081,0.3060463,0.44026843
5.0,8.0,0.9705523,0.96591944,1.0214684
4.0,4.0,0.17025591,0.15542392,0.219679
1.0,6.0,0.55532855,0.5190436,0.56627274
5.0,8.0,0.08045194,0.02416705,0.14691925
1.0,1.0,0.1413965,0.09393093,0.15282226
2.0,2.0,0.251261,0.20916197,0.28851062
1.0,1.0,0.48410997,0.42602542,0.50981015
6.0,6.0,0.87674165,0.8288892,0.95762074
1.0,1.0,0.3138317,0.22312018,0.33660656
7.0,7.0,0.52452344,0.4398191,0.595508
1.0,1.0,0.5278471,0.5154941,0.613069
2.0,2.0,0.005716862,0.0046312953,0.048812047
4.0,2.0,0.5113163,0.411426,0.5854898
7.0,7.0,0.097665615,0.04611757,0.11114632
6.0,6.0,0.042885993,0.0023314632,0.07673113
7.0,7.0,0.09768844,0.048298407,0.14601415
5.0,8.0,0.27644303,0.23328093,0.30299506
9.0,9.0,0.6557097,0.64913213,0.7017104
7.0,7.0,0.42310688,0.40178278,0.47241166
1.0,1.0,0.6395109,0.6050135,0.69990546
5.0,8.0,0.37886935,0.30353653,0.4643468
8.0,4.0,0.30540735,0.21153949,0.3146955
2.0,2.0,0.0032971539,0.0017320052,0.03048015
8.0,8.0,0.14629436,0.11623703,0.18555208
3.0,3.0,0.1090056,0.098468915,0.13242291
0.0,0.0,0.22518407,0.22175968,0.3173838
9.0,9.0,0.20835595,0.13352811,0.28067517
4.0,4.0,0.24626264,0.18317205,0.33899298
6.0,1.0,0.12454278,0.12207596,0.15137434
2.0,2.0,0.1968893,0.1479394,0.28781047
9.0,9.0,1.0380881,0.97848123,1.1217971
4.0,4.0,0.6109082,0.557213,0.67678374
5.0,5.0,0.7199278,0.674305,0.81062603
7.0,7.0,0.36430636,0.30673826,0.40529624
7.0,7.0,0.30612984,0.30196935,0.3584012
6.0,6.0,0.099488884,0.008613087,0.14170109
7.0,7.0,0.64149505,0.5641343,0.65838075
3.0,3.0,0.22411871,0.21391344,0.32135093
2.0,2.0,0.4516301,0.40796342,0.48961693
3.0,4.0,0.841256,0.7664062,0.8462192
4.0,4.0,0.5298586,0.51917213,0.60178375
0.0,0.0,0.7235264,0.6879197,0.76182616
6.0,6.0,0.035245027,0.010863503,0.055227302
7.0,7.0,0.7678168,0.74536765,0.8316037
2.0,2.0,0.77326524,0.69776624,0.8384971
8.0,8.0,1.4344747,1.4219632,1.5009573
7.0,7.0,0.117849745,0.024420403,0.1691458
5.0,3.0,0.12886922,0.09734839,0.19908808
8.0,8.0,0.9519458,0.9474782,1.0208225
5.0,8.0,0.06427723,0.0008305311,0.07653676
5.0,5.0,0.03156512,0.02233234,0.039781332
0.0,0.0,0.54913616,0.4984155,0.5617467
3.0,3.0,0.64139426,0.61351955,0.69450414
0.0,0.0,0.71152496,0.6666293,0.794875
4.0,4.0,0.44819504,0.36181173,0.48218286
7.0,9.0,0.6563893,0.57971376,0.75058895
6.0,6.0,0.11396513,0.09899084,0.15259221
4.0,4.0,0.059309892,0.0418538,0.14954646
5.0,5.0,0.25590917,0.24358448,0.33041084
0.0,0.0,0.7864592,0.7137715,0.80300045
3.0,3.0,0.4528104,0.3962644,0.45902988
5.0,5.0,1.1426175,1.0970566,1.1821579
2.0,2.0,0.013222734,0.0043394733,0.050626773
4.0,4.0,0.14051065,0.10591589,0.23186249
1.0,1.0,0.5911128,0.49250245,0.66888833
2.0,7.0,0.25732005,0.17643514,0.27654213
3.0,3.0,0.74078524,0.6910295,0.749732
4.0,4.0,0.021964455,0.0005571866,0.09844585
4.0,4.0,0.22073169,0.13868651,0.22605695
6.0,6.0,1.3677456,1.3059912,1.4096178
3.0,3.0,0.16365078,0.06741962,0.24649706
2.0,2.0,0.90086806,0.8952608,0.99161416
1.0,1.0,0.4371435,0.4181489,0.4773808
8.0,1.0,0.4575703,0.44518936,0.54488075
6.0,6.0,0.38363072,0.2886137,0.45010996
3.0,3.0,0.20035228,0.15399235,0.24165359
6.0,6.0,0.030314947,0.006080622,0.05150026
9.0,9.0,0.42151892,0.36856365,0.4834947
7.0,4.0,0.12887144,0.10013972,0.13462614
7.0,7.0,0.4157005,0.41540524,0.48221418
3.0,3.0,0.058197316,0.055801567,0.11456448
2.0,7.0,0.7343652,0.71462196,0.7581558
2.0,2.0,0.14137174,0.113561176,0.15828197
7.0,7.0,0.40958086,0.36278883,0.44676256
3.0,3.0,0.2282302,0.12829003,0.2930455
4.0,4.0,1.1023973,1.0268339,1.1938101
4.0,4.0,0.51006585,0.47669348,0.5625839
4.0,3.0,0.31952336,0.28259295,0.417926
3.0,3.0,0.121321455,0.049677856,0.2118831
0.0,0.0,0.22538787,0.21562801,0.2283595
1.0,1.0,0.22095567,0.17794918,0.3158412
8.0,8.0,0.12694615,0.11567505,0.17789426
7.0,8.0,0.06932765,0.0451015,0.14173049
1.0,1.0,0.30459225,0.2928162,0.34786987
6.0,6.0,0.10805341,0.10575867,0.19368967
3.0,3.0,0.7090109,0.61089313,0.7286613
0.0,0.0,0.2937865,0.21917501,0.37972766
5.0,5.0,0.32849985,0.27644306,0.4084686
1.0,1.0,0.08275635,0.024679124,0.1309859
6.0,6.0,0.23910694,0.21412347,0.28345373
1.0,1.0,0.18914634,0.17323853,0.20164305
7.0,7.0,0.27282742,0.21005857,0.36933863
1.0,1.0,0.44970328,0.36379197,0.4630845
6.0,1.0,0.10635516,0.027019568,0.12634192
6.0,6.0,0.87836295,0.78311986,0.9611971
5.0,5.0,0.08636069,0.041937206,0.15367427
9.0,9.0,0.20744048,0.18282871,0.2860898
6.0,6.0,0.17607082,0.1606584,0.17924464
1.0,1.0,0.2618676,0.18540284,0.29476437
7.0,7.0,0.2423881,0.22492261,0.3060409
3.0,3.0,0.36365756,0.31615725,0.43161318
8.0,8.0,0.18215057,0.08782578,0.2154329
8.0,8.0,0.40009815,0.39152545,0.42172194
6.0,8.0,0.62785035,0.5805204,0.6849064
6.0,6.0,0.31781977,0.27128488,0.37700033
0.0,0.0,0.40365276,0.37133533,0.42826337
3.0,3.0,0.7660041,0.73313946,0.8612652
5.0,5.0,0.6018109,0.592073,0.6955515
5.0,5.0,0.33165905,0.24827385,0.36671296
2.0,2.0,0.38748094,0.30063048,0.42373025
4.0,4.0,0.15576318,0.15469483,0.17605592
2.0,2.0,0.35545638,0.26402736,0.36290282
2.0,2.0,0.57551,0.4792642,0.64950216
1.0,1.0,0.58123195,0.5341329,0.6142892
0.0,0.0,0.37001514,0.3534724,0.44183114
5.0,5.0,0.5697284,0.53219146,0.6498524
6.0,8.0,0.24747586,0.21163198,0.3288217
6.0,6.0,0.0038622094,0.0014054712,0.09707793
7.0,9.0,0.21940896,0.17155604,0.2508569
0.0,6.0,0.2583974,0.22959358,0.33010265
4.0,4.0,0.27468947,0.22519931,0.32331824
4.0,4.0,0.43575746,0.35245714,0.5000736
5.0,5.0,0.24485119,0.14658982,0.25482032
4.0,4.0,0.18852402,0.094218336,0.24689345
4.0,4.0,0.050279,0.0048262193,0.1450802
5.0,5.0,0.5750115,0.499446,0.58644336
2.0,2.0,0.20519777,0.13343334,0.30052254
1.0,1.0,0.15287152,0.06086248,0.16150598
2.0,8.0,0.8657291,0.79885656,0.8767835
1.0,1.0,0.55337185,0.46847132,0.56577706
2.0,2.0,0.050999515,0.03648657,0.10687043
1.0,1.0,0.7464333,0.7369436,0.76052403
4.0,4.0,0.5253398,0.4764987,0.583956
6.0,6.0,0.5924858,0.55731165,0.63239026
5.0,5.0,0.42806572,0.35107312,0.43328345
7.0,7.0,0.05993557,0.03615732,0.106241524
4.0,4.0,0.60674167,0.54325557,0.69180024
0.0,0.0,0.4150591,0.35686967,0.4988582
5.0,5.0,0.22437324,0.22294226,0.26656234
1.0,1.0,0.07071722,0.056739435,0.09541829
1.0,1.0,0.32405624,0.26389566,0.38061592
6.0,8.0,0.8956172,0.85334486,0.9503273
2.0,7.0,0.30723634,0.22853193,0.31359625
6.0,6.0,0.34502134,0.24826545,0.42985284
0.0,0.0,0.106589414,0.096804,0.14060225
0.0,0.0,0.496697,0.4235892,0.5585607
3.0,9.0,0.5517507,0.4646461,0.5837952
3.0,4.0,0.11425989,0.01431787,0.16071308
5.0,5.0,0.02395898,0.0025586332,0.09572675
4.0,4.0,0.43109766,0.40253836,0.43665314
3.0,3.0,0.017789124,0.0031744011,0.05778388
7.0,4.0,0.59791,0.52505463,0.6633349
6.0,6.0,0.2965953,0.2673072,0.30764076
4.0,4.0,0.10260127,0.07359044,0.15599924
1.0,4.0,0.5100975,0.4222734,0.5748321
9.0,9.0,0.2606762,0.24595043,0.30692396
3.0,4.0,1.0588442,1.0239084,1.0701766
1.0,1.0,0.67969763,0.62021434,0.7528778
2.0,2.0,0.29547057,0.29226878,0.3766513
2.0,7.0,0.00675844,0.00064272253,0.042521313
3.0,3.0,1.383712,1.3805873,1.4330515
0.0,0.0,0.24985127,0.23622751,0.34764233
2.0,7.0,0.4477085,0.39726973,0.53106177
5.0,5.0,0.4635411,0.446282,0.47990236
7.0,7.0,0.13820042,0.040413193,0.16588038
1.0,1.0,0.052351713,0.0433368,0.13672864
1.0,1.0,0.6792292,0.58201367,0.74428636
5.0,5.0,0.3903936,0.30863655,0.47616246
4.0,4.0,0.0428085,0.0034807401,0.1306582
1.0,1.0,0.035947878,0.0016734251,0.1148756
8.0,9.0,0.6032361,0.5594521,0.6444678
0.0,0.0,0.7036105,0.6790914,0.78680545
4.0,4.0,0.43850905,0.4315177,0.49709988
2.0,0.0,0.071878426,0.0018453816,0.081375755
4.0,7.0,0.016655793,0.0046111387,0.11091285
4.0,4.0,0.0519124,0.0035163818,0.11601797
3.0,3.0,0.20105512,0.1177978,0.24276252
0.0,0.0,0.14255229,0.120267175,0.19104545
6.0,6.0,0.6009595,0.5944643,0.64394057
2.0,1.0,1.0698525,1.0395525,1.1383784
8.0,8.0,0.5054671,0.47053,0.53498995
0.0,0.0,0.07780849,0.022400837,0.14391999
3.0,3.0,0.10682392,0.057330284,0.18399903
2.0,2.0,0.094615735,0.021343194,0.14897656
2.0,2.0,0.637597,0.5870986,0.73176044
6.0,6.0,1.0389593,1.0056393,1.0601914
3.0,3.0,0.37449935,0.31165192,0.37990448
7.0,9.0,0.2984371,0.28009325,0.31507444
1.0,1.0,0.47789448,0.4111841,0.57293093
7.0,8.0,0.08376461,0.07200529,0.116880864
9.0,9.0,0.19446956,0.13545662,0.218196
5.0,5.0,0.013707611,0.0016575783,0.03380672
3.0,0.0,0.11413031,0.08003037,0.14950241
3.0,5.0,0.67014325,0.644204,0.7298013
3.0,3.0,0.26829445,0.24218749,0.29278404
2.0,2.0,0.56118673,0.4707929,0.5732822
4.0,8.0,0.5808369,0.55600214,0.6257162
8.0,8.0,0.85337657,0.75360525,0.87792426
8.0,9.0,1.0297328,0.9596371,1.0313352
7.0,7.0,0.2614677,0.25578544,0.27324414
8.0,8.0,0.6867138,0.66474783,0.70992213
5.0,5.0,0.4753311,0.37582704,0.57030404
9.0,9.0,0.50692546,0.478359,0.5556158
5.0,5.0,0.71220285,0.69922316,0.72913665
7.0,7.0,0.76043206,0.70291615,0.78821224
4.0,6.0,0.30363232,0.23257601,0.35704327
6.0,6.0,0.5803846,0.53129554,0.6122446
8.0,9.0,0.075157784,6.52802e-05,0.124267206
4.0,4.0,0.56679845,0.47876582,0.64466506
6.0,6.0,0.10877366,0.023235656,0.16824748
5.0,5.0,0.6110186,0.59433115,0.61338407
